Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29832	ROGEBJE	Bjerkreimselva	04.02.2019 17:00																				1.42
29842	SFJENAU	Nausta	05.02.2019	10.036																			
29842	SFJENAU	Nausta	05.02.2019																				
29617	?STEGLO	Glomma	05.02.2019 07:15	573.101	7.2	4.92	1	0.93	2.4	2	5	340	31	470	3.557	0.11	0.09	0.01	1.09	13.8	0.55	0.12	
29617	?STEGLO	Glomma	05.02.2019 07:15																				5.73
29613	TELESKI	Skienselva	05.02.2019 10:00	306.447	6.68	1.87	0.44	<0.67	2.3	1	3	130	6	220	2.229	0.078	0.037	0.007	0.33	1.7	0.19	0.059	
29613	TELESKI	Skienselva	05.02.2019 10:00																				1.85
29782	NOREVEF	Vefsna	05.02.2019 10:15	45.718	7.73	8.97	<0.3	<0.67	1.2	<1	2	110	<2	180	2.143	0.14	0.009	<0.003	0.27	0.18	0.23	0.06	
29782	NOREVEF	Vefsna	05.02.2019 10:15																				12.7
29842	SFJENAU	Nausta	05.02.2019 10:40	10.036	6.4	2.13	0.46	<0.67	1.1	1	3	160	<2	220	2.229	<0.025	0.021	0.004	0.17	1.1	0.11	0.031	
29842	SFJENAU	Nausta	05.02.2019 10:40																				0.985
29783	ROGEORR	Orreelva	05.02.2019 11:15	8.918	7.57	19.9	10	27.4	8.9	52	97	1500	4	2800	3.279	0.35	0.704	0.027	1.98	5.2	1.38	0.32	
29783	ROGEORR	Orreelva	05.02.2019 11:15																				17.2
36225	OSLEALN	Alna	05.02.2019 11:50	0.393	7.88	51.6	2	2.09	3	48	65	820	230	1700	6.557	0.26	0.166	0.021	1.9	6.5	0.59	0.15	
36225	OSLEALN	Alna	05.02.2019 11:50																				32
30019	AAGEVEG	Veg?dselva	05.02.2019 12:20	5.409	6.31	3.07	0.77	1.16	5.7	2	5	180	38	360	3.493	0.22	0.321	0.046	0.58	7.8	0.5	0.19	
30019	AAGEVEG	Veg?dselva	05.02.2019 12:20																				1.68
29821	HOREVOS	Vosso	05.02.2019 13:50	6.67																			
29821	HOREVOS	Vosso	05.02.2019 13:50																				
29844	STRENID	Nidelva	06.02.2019 10:20	39.296																			
29844	STRENID	Nidelva	06.02.2019 10:20																				
29844	STRENID	Nidelva	06.02.2019 16:20	39.296	7.14	3.2	0.76	1.19	2.4	2	4	87	3	170	2.01	0.084	0.031	<0.003	0.61	1.5	0.71	0.19	
29844	STRENID	Nidelva	06.02.2019 16:20																				3.69
29822	MROEDRI	Driva	08.02.2019 10:00	32.718	7.05	3.66	<0.3	<1	0.95	<1	2	170	<2	230	2.957	0.038	0.008	<0.003	0.44	0.17	0.15	0.099	
29822	MROEDRI	Driva	08.02.2019 10:00																				4.04
29819	FINEPAS	Pasvikelva	10.02.2019 13:00	59.864	6.98	3.23	0.37	<0.38	2.8	1	12	170	<2	270	5.636	0.072	0.018	0.004	0.94	1	1.13	0.13	
29819	FINEPAS	Pasvikelva	10.02.2019 13:00																				3.14
29778	STREORK	Orkla	11.02.2019 09:30	44.16	7.47	6.65	0.56	2.64	1.9	2	5	230	7	340	3.257	0.073	0.029	0.025	3.09	7.4	0.68	0.22	
