L?penr	Vassdrag	Lokalitets-ID	Lokalitet	Dato	pH	Ca	Turbiditet	SiO2	TOC	POC	DOC	TotP	TotN	NH4	NO3	TON	As	Pb	Cd	Cu	Cr	Ni	Zn	abs_254 nm	abs_285 nm	abs_365 nm	abs_410 nm
1	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	04.02.2019	6.27	1.04	0.35	2.24	3.4	500	3.4	2.5	240	6	140	94	0.14	0.24	0.02	1.9	0.16	1	7.6				
2	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	04.03.2019	6.34	1.02	0.35	2.52	4.7	100	4.6	2	290	2	180	108	0.16	0.5	0.05	0.69	0.28	1	5.6				
3	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	01.04.2019	6.19	1.21	0.42	2.19	6.8	1200	5.6	3	210	5	180	25	0.22	0.41	0.05	0.77	0.19	1.1	4.7				
4	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	15.04.2019	6.11	1.3																					
5	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	22.04.2019	6.12	1.42																					
6	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	29.04.2019	6.18	1.48																					
7	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.05.2019	6.43	1.3	1.6	1.9	7.6	1300	6.3	7.5	310	21	150	139	0.16	0.76	0.05	1.1	0.1	1	5.8				
8	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	13.05.2019	6.43	1.61																					
9	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	20.05.2019	6.18	1.56																					
10	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	27.05.2019	6.16	1.46																					
11	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.06.2019	6.49	1.52	0.86	1.48	8.1	3100	5	2	210	36	80	94	0.16	0.2	0.05	1.1	0.12	1	9.6				
12	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	01.07.2019	6.31	1.12	0.93	1.49	5.4	300	5.1	5	290	5	80	205	0.19	0.2	0.023	0.63	0.26	1	6.2				
13	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.08.2019	6.33	0.93	0.84	1.53	5	700	4.3	3	220	16	60	144	0.16	0.2	0.05	1.1	0.4	1	4.1				
14	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.09.2019	6.19	1.09	0.61	1.96	7.3	2000	5.3	2	220	11	100	109	0.2	0.31	0.05	0.2	0.37	1	5.5				
15	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	30.09.2019	6.27	1.34	1.3	2.5	6.6	1000	5.6	4	320	32	150	138	0.22	0.79	0.059	1.3	0.16	2.7	7.1				
16	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	04.11.2019	6.12	1.07	0.88	2.37	4.9	400	4.5	3.5	220	24	130	66	0.2	0.79	0.05	0.84	0.31	1.4	7.4				
17	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.12.2019	6.22	1.24	0.52	2.64	6	400	5.6	2.5	280	230	130	-80	0.2	0.28	0.045	1.1	0.2	3.4	9.5				
18	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.01.2020	6.02	0.84	0.54	2.25	4.2	100	4.2	2.5	235	2	140	93	0.13	0.84	0.02	0.84	0.2	1	5.8				
19	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.02.2020	6.2	1.04	0.42	2.12	4.7	500	4.2	2	235	2	130	103	0.14	0.45	0.041	0.49	0.1	1.1	4.3				
20	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.03.2020	6.19	1.14	0.86	2.13	4	100	4	2.5	240	71	140	29	0.14	0.44	0.06	1.1	0.16	1	7.8				
21	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.04.2020	6.28	1.13	0.25	1.77	3.5	200	3.3	2	180	12	100	68	0.11	0.35	0.049	0.54	0.17	2.6	6.5				
22	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	20.04.2020	6.54	1.18			3																		
23	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	27.04.2020	6.53	1.19			2																		
24	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	04.05.2020	6.49	1.1			3.7																		
25	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	11.05.2020	6.43	1.13	0.27	1.76	3.1	3200	3.1	2	180	2	110	68	0.12	1.7	0.02	0.51	0.14	1	6.1				
26	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	18.05.2020	6.51	1.11			3.2																		
27	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	25.05.2020	6.42	1.07			3.8																		
28	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	01.06.2020	6.32	0.95			3.6																		
29	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	08.06.2020	6.46	0.97	0.76	1.66	4	600	3.4	3	170	11	90	69	0.12	0.36	0.02	1.1	0.11	1	6.3				
30	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.07.2020	6.44	0.89	1	1.32	4.4	500	4.3	2.5	540	160	80	300	0.22	0.26	0.05	1.9	0.1	1	16.1				
31	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.08.2020	6.24	1.16	1.4	1.92	5.3	400	4.9	3	240	13	80	147	0.35	0.6	0.04	0.84	0.12	1	8.7				
32	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.09.2020	6.5	0.84		1.7	3.6			5.3	190		100												
33	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	08.09.2020	6.3	0.78	0.54	1.9	4.6	0.4	4.2	2.1	230	14	110	106	0.12	0.13	0.012	0.83	0.055	0.12	2.9	0.129	0.09	0.027	0.012
34	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	14.09.2020	6.3				3.7																		
35	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.10.2020	5.9	1.1	1.6	2.1	6	0.3	5.7	5.3	220	16	120	84	0.17	0.15	0.028	0.74	0.14	0.36	5.4	0.266	0.199	0.068	0.054
36	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	13.10.2020	6.2	1		2	5.8			6.7	250		140												
37	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.11.2020	6	1	1.4	2.6	5.4	0	5.4	4.05	250	12	120	118	0.17	0.45	0.027	0.75	0.14	0.21	4.8	0.239	0.174	0.058	0.029
38	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.01.2021	6.2	1.1	0.51	2.4	4.6	0.1	4.5	2.4	195	18	120	57	0.14	0.3	0.021	0.41	0.092	0.21	4	0.187	0.137	0.046	0.023
39	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	12.01.2021	6.3	0.99		2.4	3.9			2.9	190		130												
40	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	01.02.2021	6	1.1	0.59	2.4	3.9	0.1	3.8	2.75	200	18	140	42	0.12	0.23	0.018	0.54	0.078	0.2	19	0.165	0.12	0.047	0.029
41	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	08.02.2021	6.1	0.93		2.1	3.5			2	200		140												
42	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	01.03.2021	6.1	1	0.47	2.4	3.4	0	3.4	2.95	255	19	160	76	0.12	0.2	0.02	0.53	0.085	0.19	3.4	0.111	0.071	0.006	-0.009
43	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.04.2021	6.2	0.98	0.48	2.1	3.9	0.3	3.8	2.65	185	21	150	14	0.14	0.23	0.022	0.54	0.073	0.17	3.2	0.157	0.117	0.053	0.036
44	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	19.04.2021	6.3	1.1			3.7																		
45	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	26.04.2021	6.2	1			3.4																		
46	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.05.2021	6.4	1	0.68	1.9	3.3	0.1	3.2	2.55	210	15	130	65	0.12	0.17	0.014	1.1	0.051	0.16	2.5	0.142	0.103	0.041	0.025
47	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	10.05.2021	6.3	1.1			3.4																		
48	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	18.05.2021	6.3	1.1			3.7																		
49	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	25.05.2021	6.3	1.1			4.3																		
50	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	31.05.2021	6.3	1.2			4.4																		
51	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	07.06.2021	6.3	0.98	0.62	1.5	4.9	0.3	4.6	3.35	185	6.5	120	58.5	0.17	0.25	0.023	0.57	0.091	0.16	3.1	0.176	0.126	0.049	0.029
52	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.07.2021	6.5	0.95	0.53	1.3	3.1	0	3.1	5.05	185	15	90	80	0.13	0.15	0.014	0.2825		0.17	1.205	0.117	0.081	0.025	0.012
53	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	12.07.2021	6.5	0.91		1.3	3.1			2.5	190		92												
54	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.08.2021	6.4	0.92	0.52	1.4	3.3	0.3	3.2	2.6	180	12	84	84	0.14	0.15	0.013	0.61	0.056	0.16	3.9	0.144	0.107	0.045	0.03
55	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	09.08.2021	6.5	0.86		1.6	3.6			4	240		81												
56	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	30.08.2021	6.5	0.8	0.5	1.7	3.6	0.1	3.5	2	160	9.6	69	81.4	0.14	0.12	0.014	0.56	0.058	0.14	2.5	0.094	0.057	0.001	-0.012
57	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.10.2021	6.2	1.2	1.5	2.1	5.8	0.4	5.4	3.6	230	9.3	100	120.7	0.19	0.52	0.029	0.9	0.17	0.17	4.8	0.215	0.155	0.053	0.028
58	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.11.2021	6.2	1.1	1	2.4	5.1	0.3	5	3.3	245	12	120	113	0.19	0.25	0.027	0.69	0.22	0.24	4.3	0.203	0.145	0.044	0.019
59	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.12.2021	5.9	0.88	0.4	2.4	4.2	0.3	3.9	2.85	215	17	120	78	0.15	0.26	0.018	0.13	0.093	0.2	3.5	0.167	0.119	0.037	0.016
60	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.01.2022	5.9	1.1	0.45	1.8	3.8	0	3.8	5.25	275	24	170	81	0.18	0.27	0.03	0.68	0.11	0.27	4.8	0.175	0.127	0.048	0.027
61	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	11.01.2022	6.1	0.92		2.4	3.3			2.3	230		140												
62	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	07.02.2022	6.1	1	0.56	2.6	3.8	0.3	3.8	2.6	265	21	170	74	0.15	0.32	0.025	0.57	2.7	1.4	5.2	0.179	0.13	0.058	0.038
63	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	28.02.2022	6.1	1.1	0.38	2.8	4.4	0.2	4.2	2.5	280	19	180	81	0.16	0.26	0.027	0.63	0.11	0.27	4.4	0.174	0.122	0.04	0.019
64	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.04.2022	6.1	0.96	0.34	2.4	3.5	0.1	3.4	2.2	240	12	170	58	0.15	0.19	0.022	0.54	0.11	0.05	3.7	0.172	0.124	0.044	0.025
65	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	19.04.2022	6.2	1.1			4																		
66	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	25.04.2022	6.3	1.1			3.7																		
67	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.05.2022	6.3	0.99	0.95	2.1	3.8	0.3	3.5	3.8	220	9	140	71	0.14	0.17	0.012	0.54	0.095	0.14	3	0.149	0.104	0.032	0.016
68	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	09.05.2022	6.3	1			4																		
69	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	18.05.2022	6.4	1			3.5																		
70	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	23.05.2022	6.5	1.1			4																		
71	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.06.2022	6.4	1.1			3.9																		
72	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	07.06.2022	6.3	0.98	0.66	1.4	3.3	0.1	3.2	2.45	210	8.6	77	124.4	0.12	0.14	0.013	0.49	0.05	0.15	2.9	0.116	0.079	0.024	0.01
73	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.07.2022	6.6	0.97	0.85	1.5	5.4	2	3.4	4.25	220	8.6	79	132.4	0.11	0.11	0.01	0.58	0.05	0.05	1.3	0.106	0.077	0.031	0.021
74	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	11.07.2022	6.3	0.95		1.4	2.7			2.9	200		73												
75	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	01.08.2022	6.4	0.89	0.37	1.6	2.6	0	2.6	2	165	3.1	73	88.9	0.11	0.071	0.0079	0.45	0.05	0.05	1	0.059	0.036	-0.001	-0.01
76	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	08.08.2022	6.3	0.93		1.5	3			2.9	260		77												
77	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	29.08.2022	6.5	0.99	0.4	1.8	3.8	0.9	2.9	2.75	285	8.8	93	183.2	0.11	0.089	0.0082	0.56	0.058	0.14	2	0.097	0.069	0.023	0.013
78	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.10.2022	6.2	1.2	1.1	2.6	5.4	0.3	5.4	4.8	330	11	150	169	0.18	0.3	0.025	0.77	0.12	0.36	4.5	0.191	0.133	0.032	0.008
79	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	31.10.2022	5.9	1.3	0.73	2.8	5.8	0.3	5.8	3	390	23	130	237	0.2	0.3	0.034	0.55	0.12	0.36	5.1	0.228	0.158	0.042	0.014
80	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.12.2022	6	1.1	0.69	2.4	5.6	0.3	5.5	2	220	23	130	67	0.18	0.45	0.03	0.48	0.096	0.05	4.5	0.243	0.177	0.058	0.028
81	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.01.2023	5.9	0.96	0.59	2.6	4.5	200	4.3	2.8	275	20	170	85	0.14	0.29	0.027	0.39	0.1	0.23	3.9	0.191	0.138	0.046	0.023
82	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	09.01.2023	5.9	1.1		2.6	4.6			4.4	260		140												
83	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	30.01.2023	6.1	0.9	0.46	2.4	4.2	200	4	2.25	190	14	120	56	0.16	0.3	0.032	0.59	0.19	0.29	5.2	0.171	0.125	0.04	0.019
84	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.02.2023	6.2	0.93		2.4	3.9			2	200		140												
85	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	27.02.2023	6.1	1	0.43	2.8	3.8	0	3.8	2.55	180	10	150	20	0.14	0.25	0.019	0.57	0.055	0.05	3.1	0.124	0.08	0.018	0.003
86	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.04.2023	6.5	0.98	0.46	2.4	3.8	300	3.7	2	205	11	150	44	0.13	0.23	0.022	0.43	0.05	0.18	3.4	0.125	0.084	0.023	0.008
87	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	17.04.2023	6.3	1.1			3.9																		
88	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	24.04.2023	6.7	1.3			4.5																		
89	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.05.2023	6.4	1.4	0.46	2.1	4.5	300	4.4	2	195	6.3	130	58.7	0.16	0.36	0.019	0.42	0.11	0.24	3.6	0.195	0.142	0.045	0.02
90	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	08.05.2023	6.5	1.2			4.1																		
91	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	15.05.2023	6.5	1.1			3.7																		
92	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	22.05.2023	6.4	1.2			3.7																		
93	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	30.05.2023	6.5	1.3			3.6																		
94	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.06.2023	6.5	0.99	0.62	1.3	3.4	300	3.3	2	170	14	90	66	0.13	0.16	0.014	0.51	0.085	0.12	2.4	0.121	0.081	0.024	0.012
95	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.07.2023	6.4	1	0.78	1.4	3.4	200	3.2	3.85	220	15	110	95	0.12	0.16	0.01	0.71	0.069	0.17	2.4	0.088	0.057	0.012	0
96	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	10.07.2023	6.3	1		1.6	3.4			2.5	250		110												
97	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	31.07.2023	6.1	1	0.55	1.6	4.2	100	4.1	2	205	4.8	79	121.2	0.18	0.18	0.021	0.6	0.055	0.23	3.5	0.145	0.1	0.032	0.015
98	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	07.08.2023	6.1	20		1.6	3.4			3.1	200		100												
99	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	28.08.2023	6.3	1	0.75	1.9	4.9	300	4.6	2.8	205	19	82	104	0.16	0.21	0.019	0.6	0.13	0.084	3.7	0.171	0.119	0.039	0.019
100	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.10.2023	6.2	1.25	0.71	2.35	5.5	50	5.45	3.225	245	29	128	88	0.215	0.42	0.031	0.64	0.14	0.33	4.95	0.228	0.163	0.0505	0.0235
101	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.01.2024	6.3	1.3	0.95	2.6	3.9	300	4	4.65	235	28	130	77	0.13	2	0.021	3.4	0.14	0.92	15	0.167	0.119	0.04	0.02
102	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	08.01.2024	6.6	4.4		2.6	4.1			8	230		140												
103	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	29.01.2024	6.2	1.1	0.47	2.6	4.3	0	4.3	2	210	20	140	50	0.16	0.3	0.025	0.45	0.12	0.28	4.3	0.179	0.128	0.041	0.019
104	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	05.02.2024	6	1.1		2.8	4.9			3	250		140												
105	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	26.02.2024	6.1	1.3	0.56	2.6	4.7	200	4.5	2.75	250	20	150	80	0.18	0.42	0.027	0.67	0.14	0.29	4.6	0.215	0.154	0.049	0.022
106	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.04.2024	6.1	1.2	0.47	2.4	4.2	300	4.2	2.4	185	12	110	63	0.14	0.37	0.017	0.68	0.13	0.22	3.2	0.248	0.188	0.075	0.046
107	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	20.04.2024	6.3	1.2			4.2																		
108	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	25.04.2024	6.5	1.2			8.6																		
109	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	29.04.2024	6.6	1.3	0.75	2.4	4.1	-200	4.3	2	240	29	93	118	0.14	0.29	0.015	0.72	0.11	0.22	3.6	0.141	0.1	0.032	0.016
110	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.05.2024	6.4	1.3			3.9																		
111	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	13.05.2024	6.4	1.3			4.8																		
112	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	21.05.2024	6.5	1.2			3.5																		
113	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	27.05.2024	6.3	1.3			3.3																		
114	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.06.2024	6.2	1.2	0.48	1.7	3.7	0	3.7	2.6	195	6.3	91	97.7	0.14	0.23	0.018	0.8	0.093	0.21	3.1	0.105	0.067	0.016	0.006
115	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.07.2024	6.4	1.1	0.49	1.7	4	300	3.7	2.55	160	5.1	75	79.9	0.15	0.19	0.014	0.67	0.087	0.19	3.1	3.442	2.401	0.035	0.019
116	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	10.07.2024	6.3	0.98		1.6	3.5			4.8	190		80												
117	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	29.07.2024	6.3	1.2	0.56	1.9	5	300	4.9	2.45	160	7.2	76	76.8	0.17	0.26	0.017	0.7	0.12	0.24	3.5	0.199	0.141	0.044	0.022
118	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	06.08.2024	6.2	1.1		1.6	4.5			4.2	160		73												
119	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	26.08.2024	6.3	1.2	1	2.1	5.7	200	5.5	3.75	220	11	98	111	0.19	0.42	0.019	1	0.22	0.15	5	0.273	0.2	0.067	0.034
120	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	02.10.2024	6.1	0.99	0.67	1.7	4.3	300	4.2	2.15	195	13	140	42	0.15	0.25	0.017	0.69	0.13	0.25	4.8	0.147	0.104	0.027	0.009
121	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	28.10.2024	6.1	1.1	0.76	2.8	5.5	300	5.3	6.2	230	20	93	117	0.18	0.37	0.022	0.71	0.14	0.32	5.9	3.344	3.04	0.071	0.035
122	Arendalsvassdraget	019-44498	Nidelva ved Rygene (VK1)	03.12.2024	6.4	0.94	1.2	2.4	4.1	200	3.9	3.85	210	23	74	113	0.14	0.31	0.014	0.91	0.14	0.24	4.9	3.328	2.998	0.029	0.01
123	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	07.01.2019	5.89	1.4	0.52	2.66	6.3	100	6.6	6.5	600	130	160	310	0.21	0.2	0.05	1	0.1	1	3.7				
124	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	04.02.2019	6.19	1.27	0.93	2.89	6.6	1200	5.8	3.5	390	21	190	179	0.21	0.2	0.074	0.99	0.16	1	8.2				
125	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	04.03.2019	6.3	1.16	0.42	2.69	6.4	200	6.2	3	390	2	170	218	0.19	0.5	0.05	0.52	0.13	1	5.6				
126	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	01.04.2019	6.6	1.79	0.43	2.13	6.2	900	5.3	2	240	6	170	64	0.2	0.45	0.077	0.49	0.33	1.7	5.2				
127	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	15.04.2019	6.46	1.39																					
128	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	22.04.2019	6.41	1.44																					
129	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	29.04.2019	6.27	1.6																					
130	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	06.05.2019	6.59	1.65	0.66	1.37	8.8	1400	7.4	2	230	2	100	128	0.16	0.65	0.05	0.41	0.17	1	5.5				
131	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	13.05.2019	6.21	1.22																					
132	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	20.05.2019	6.29	1.28																					
133	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	27.05.2019	6.09	1.36																					
134	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	03.06.2019	6.54	1.57	0.7	0.86	7.8	3200	4.6	2	220	34	90	96	0.17	0.2	0.05	0.39	0.3	1	5.9				
135	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	01.07.2019	6.76	1.56	0.93	1.14	7	500	6.5	5	300	14	60	226	0.23	0.44	0.057	0.48	0.41	1	6.4				
136	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	05.08.2019	6.71	2.06	0.92	0.83	5.9	300	5.6	5	240	16	90	134	0.24	0.52	0.05	0.83	0.16	1	5.3				
137	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	02.09.2019	6.43	1.69	0.66	1.65	8.9	2000	7.9	2	300	20	90	190	0.29	0.2	0.073	0.2	0.3	1	7.3				
138	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	30.09.2019	6.2	1.7	2.3	2.16	6.4	500	5.9	8.5	370	12	120	238	0.25	0.96	0.092	1.4	0.3	1	8.3				
139	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	04.11.2019	6.11	1.37	1.2	2.56	6.4	500	5.9	5	350	39	120	191	0.25	0.51	0.05	0.77	0.29	1	7.3				
140	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	02.12.2019	6.24	1.45	1.5	2.69	6.7	400	6.3	9	510	46	270	194	0.25	1.4	0.019	1.4	0.21	1	19.8				
141	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	06.01.2020	6.19	1.47	1	2.3	6.4	500	5.9	4	495	40	240	215	0.19	0.26	0.02	1.1	0.31	2	14.4				
142	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	03.02.2020	6	1.24	0.7	1.97	5.2	100	5.1	2.5	310	23	170	117	0.18	0.2	0.054	0.59	0.11	1	5.5				
143	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	02.03.2020	6.33	1.69	0.69	2.1	4.6	100	4.6	4.5	305	2	190	113	0.036	0.39	0.095	0.9	0.25	1.1	8.8				
144	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	06.04.2020	6.3	1.96	0.59	1.76	4.7	200	4.5	6	380	40	230	110	0.15	0.2	0.05	0.8	0.18	1	9				
145	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	20.04.2020	6.49	1.5			3.5																		
146	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	04.05.2020	6.41	1.58			3.9																		
147	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	11.05.2020	6.26	1.54		1.39	3.6			5	240		90												
148	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	18.05.2020	6.57	1.56			3.7																		
149	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	25.05.2020	6.58	1.36			4.5																		
150	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	01.06.2020	6.13	1.47			3.5																		
151	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	08.06.2020	6.55	1.23	0.76	0.95	5.1	800	4.3	2.5	175	14	50	111	0.13	0.52	0.02	0.52	0.42	1	6.7				
152	Tovdalselva	020-44497	Tovdalselva ved Boenfoss (VK1)	06.07.2020	6.59	1.3	0.5	1.03	4.3	500	3.9	2	180	35	40	105	0.18	0.48	0.02	0.44	0.28	0.5	6.3				
